"compute_time","Datasets","modality","compute time(hrs)"
319,"NKI","perf",0.0886111111111111
1687,"NKI","perf",0.468611111111111
2881,"NKI","perf",0.800277777777778
1661,"NKI","perf",0.461388888888889
2679,"NKI","perf",0.744166666666667
344,"NKI","perf",0.0955555555555556
1644,"NKI","perf",0.456666666666667
3672,"NKI","perf",1.02
2755,"NKI","perf",0.765277777777778
2469,"NKI","perf",0.685833333333333
320,"NKI","perf",0.0888888888888889
324,"NKI","perf",0.09
2603,"NKI","perf",0.723055555555556
1587,"NKI","perf",0.440833333333333
2378,"NKI","perf",0.660555555555556
315,"NKI","perf",0.0875
337,"NKI","perf",0.0936111111111111
1603,"NKI","perf",0.445277777777778
1632,"NKI","perf",0.453333333333333
1642,"NKI","perf",0.456111111111111
336,"NKI","perf",0.0933333333333333
1648,"NKI","perf",0.457777777777778
1630,"NKI","perf",0.452777777777778
1597,"NKI","perf",0.443611111111111
2365,"NKI","perf",0.656944444444444
333,"NKI","perf",0.0925
1528,"NKI","perf",0.424444444444444
3304,"NKI","perf",0.917777777777778
2652,"NKI","perf",0.736666666666667
2320,"NKI","perf",0.644444444444444
956,"NKI","perf",0.265555555555556
1650,"NKI","perf",0.458333333333333
3144,"NKI","perf",0.873333333333333
2717,"NKI","perf",0.754722222222222
3281,"NKI","perf",0.911388888888889
2464,"NKI","perf",0.684444444444444
1564,"NKI","perf",0.434444444444444
2423,"NKI","perf",0.673055555555556
1592,"NKI","perf",0.442222222222222
1550,"NKI","perf",0.430555555555556
343,"NKI","perf",0.0952777777777778
1487,"NKI","perf",0.413055555555556
2385,"NKI","perf",0.6625
317,"NKI","perf",0.0880555555555556
2964,"NKI","perf",0.823333333333333
349,"NKI","perf",0.0969444444444444
1533,"NKI","perf",0.425833333333333
1418,"NKI","perf",0.393888888888889
1447,"NKI","perf",0.401944444444444
2469,"NKI","perf",0.685833333333333
325,"NKI","perf",0.0902777777777778
1556,"NKI","perf",0.432222222222222
1543,"NKI","perf",0.428611111111111
1974,"NKI","perf",0.548333333333333
2750,"NKI","perf",0.763888888888889
1077,"NKI","perf",0.299166666666667
1530,"NKI","perf",0.425
1539,"NKI","perf",0.4275
3612,"NKI","perf",1.00333333333333
2810,"NKI","perf",0.780555555555556
341,"NKI","perf",0.0947222222222222
2469,"NKI","perf",0.685833333333333
3768,"NKI","perf",1.04666666666667
1556,"NKI","perf",0.432222222222222
330,"NKI","perf",0.0916666666666667
317,"NKI","perf",0.0880555555555556
1497,"NKI","perf",0.415833333333333
3793,"NKI","perf",1.05361111111111
2758,"NKI","perf",0.766111111111111
2532,"NKI","perf",0.703333333333333
328,"NKI","perf",0.0911111111111111
1540,"NKI","perf",0.427777777777778
1488,"NKI","perf",0.413333333333333
3720,"NKI","perf",1.03333333333333
2628,"NKI","perf",0.73
1100,"NKI","perf",0.305555555555556
1490,"NKI","perf",0.413888888888889
1469,"NKI","perf",0.408055555555556
1480,"NKI","perf",0.411111111111111
2687,"NKI","perf",0.746388888888889
3,"NKI","perf",0.000833333333333333
3005,"NKI","perf",0.834722222222222
3196,"NKI","perf",0.887777777777778
3025,"NKI","perf",0.840277777777778
340,"NKI","perf",0.0944444444444444
1617,"NKI","perf",0.449166666666667
1498,"NKI","perf",0.416111111111111
1497,"NKI","perf",0.415833333333333
1925,"NKI","perf",0.534722222222222
1471,"NKI","perf",0.408611111111111
3056,"NKI","perf",0.848888888888889
1483,"NKI","perf",0.411944444444444
2448,"NKI","perf",0.68
1611,"NKI","perf",0.4475
2400,"NKI","perf",0.666666666666667
342,"NKI","perf",0.095
1526,"NKI","perf",0.423888888888889
1909,"NKI","perf",0.530277777777778
3774,"NKI","perf",1.04833333333333
3379,"NKI","perf",0.938611111111111
